【  体育频道  】,#genre#
【  央视频道  】,#genre#
【  广东频道  】,#genre#
【  江苏频道  】,#genre#
东北_CGTNDOCUMENTARY_联通,http://1.24.190.98:10080/hls/21/index.m3u8
东北_CGTNEnglish_联通,http://1.24.190.98:10080/hls/20/index.m3u8
东北_CGTNEspañol_联通,http://1.24.190.98:10080/hls/24/index.m3u8
东北_CGTNFrançais_联通,http://1.24.190.98:10080/hls/23/index.m3u8
东北_CGTNPYCCKИЙ_联通,http://1.24.190.98:10080/hls/22/index.m3u8
东北_CGTNبالعربية_联通,http://1.24.190.98:10080/hls/25/index.m3u8
东北_DOCUMENTARY_联通,http://1.24.190.98:10080/hls/21/index.m3u8
东北_English_联通,http://1.24.190.98:10080/hls/20/index.m3u8
东北_Español_联通,http://1.24.190.98:10080/hls/24/index.m3u8
东北_Français_联通,http://1.24.190.98:10080/hls/23/index.m3u8
东北_PYCCKИЙ_联通,http://1.24.190.98:10080/hls/22/index.m3u8
东北_بالعربية_联通,http://1.24.190.98:10080/hls/25/index.m3u8
东北_东方财经_联通,http://1.24.190.98:10080/hls/67/index.m3u8
东北_光影_联通,http://1.24.190.98:10080/hls/101/index.m3u8
东北_全纪实_联通,http://1.24.190.98:10080/hls/118/index.m3u8
东北_内蒙古农牧_联通,http://1.24.190.98:10080/hls/35/index.m3u8
东北_内蒙古文体娱乐_联通,http://1.24.190.98:10080/hls/33/index.m3u8
东北_内蒙古新闻综合_联通,http://1.24.190.98:10080/hls/32/index.m3u8
东北_内蒙古经济生活_联通,http://1.24.190.98:10080/hls/34/index.m3u8
东北_内蒙古蒙语II_联通,http://1.24.190.98:10080/hls/40/index.m3u8
东北_内蒙古蒙语_联通,http://1.24.190.98:10080/hls/39/index.m3u8
东北_包头新闻综合_联通,http://1.24.190.98:10080/hls/26/index.m3u8
东北_包头生活服务_联通,http://1.24.190.98:10080/hls/27/index.m3u8
东北_包头经济生活_联通,http://1.24.190.98:10080/hls/28/index.m3u8
东北_国家地理_联通,http://1.24.190.98:10080/hls/120/index.m3u8
东北_墨宝_联通,http://1.24.190.98:10080/hls/124/index.m3u8
东北_星影_联通,http://1.24.190.98:10080/hls/125/index.m3u8
东北_极速汽车_联通,http://1.24.190.98:10080/hls/121/index.m3u8
东北_游戏风云_联通,http://1.24.190.98:10080/hls/119/index.m3u8
东北_相声小品_联通,http://1.24.190.98:10080/hls/122/index.m3u8
