【  影视频道  】,#genre#
CCTV怀旧剧场8M1080_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8
CCTV第一剧场8M1080_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8
CCTV第一剧场_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8
CCTV第一剧场_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
CCTV风云剧场8M1080_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8
CCTV风云剧场_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8
CCTV风云剧场_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
SiTV都市剧场8M1080_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226581/index.m3u8
东北_4K欢笑剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.98:1234
东北_CCTV第一剧场_电信,http://36.49.52.39:8800/rtp/239.37.0.078:5540
东北_CCTV风云剧场_电信,http://36.49.52.39:8800/rtp/239.37.0.114:5540
东北_CHC动作电影_电信,http://36.49.52.39:8800/rtp/239.37.0.186:5540
东北_CHC家庭影院_电信,http://36.49.52.39:8800/rtp/239.37.0.188:5540
东北_CHC电影_电信,http://36.49.52.39:8800/rtp/239.37.0.187:5540
东北_citv都市剧场_电信,http://36.49.52.39:8800/rtp/239.37.0.241:5540
东北_怀旧剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.38:1234
东北_每日影视_电信,http://36.49.52.39:8800/rtp/239.37.0.221:5540
东北_第一剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.29:1234
东北_辽宁影视剧_联通,http://116.2.48.244:6000/rtp/232.0.0.25:1234
东北_都市剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.149:1234
东北_风云剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.45:1234
华东_CCTV怀旧剧场_电信,http://36.5.100.28:4022/rtp/238.1.79.61:4624
华东_CCTV怀旧剧场_电信,http://117.66.232.100:2000/rtp/238.1.79.61:4624
华东_CCTV第一剧场_电信,http://117.66.232.100:2000/rtp/238.1.79.63:4640
华东_CCTV风云剧场_电信,http://117.66.232.100:2000/rtp/238.1.79.62:4632
华东_CHC动作电影_电信,http://113.138.135.67:8001/rtp/239.112.205.207:5140
华东_CHC动作电影_联通,http://119.166.7.60:6666/udp/239.253.254.153:8000
华东_CHC家庭影院_电信,http://113.138.135.67:8001/rtp/239.112.205.205:5140
华东_CHC家庭影院_联通,http://119.166.7.60:6666/udp/239.253.254.152:8000
华东_CHC电影_电信,http://113.138.135.67:8001/rtp/239.112.205.206:5140
华东_CHC电影_联通,http://119.166.7.60:6666/udp/239.253.254.154:8000
华东_CQTV影视_电信,http://113.251.228.247:7788/rtp/235.254.198.180:7980
华东_安徽影视_电信,http://36.5.100.28:4022/rtp/238.1.79.42:4448
华东_安徽影视_电信,http://117.66.232.100:2000/rtp/238.1.79.42:4448
华东_广东影视_电信,http://14.154.193.230:4022/udp/239.77.0.217:5146
华东_广州影视_电信,http://14.154.193.230:4022/udp/239.253.43.73:5146
华东_怀旧剧场_电信,http://113.138.135.67:8001/rtp/239.111.205.67:5140
华东_杭州4影视_电信,http://125.126.87.78:9999/rtp/233.50.201.176:5140
华东_杭州4影视_电信,http://115.205.189.231:8000/rtp/233.50.201.176:5140
华东_杭州4影视_电信,http://122.233.239.30:9999/rtp/233.50.201.176:5140
华东_杭州4影视_电信,http://125.125.40.20:8000/rtp/233.50.201.176:5140
华东_杭州4影视_电信,http://218.71.45.167:9999/rtp/233.50.201.176:5140
华东_杭州4影视_电信,http://220.189.92.253:9999/rtp/233.50.201.176:5140
华东_杭州4影视_电信,http://115.230.161.172:9999/rtp/233.50.201.176:5140
华东_第一剧场_电信,http://113.138.135.67:8001/rtp/239.111.205.65:5140
华东_精彩电影_联通,http://119.166.7.60:6666/udp/239.253.254.142:8000
华东_都市剧场_联通,http://119.166.7.60:6666/udp/239.253.254.98:8000
华东_风云剧场_电信,http://113.138.135.67:8001/rtp/239.111.205.66:5140
华中_CCTV怀旧剧场_联通,http://171.125.90.44:6001/rtp/226.0.2.224:9704
华中_CCTV第一剧场_电信,http://221.234.143.214:8880/rtp/239.69.1.74:10084
华中_CCTV第一剧场_电信,http://119.98.183.124:8000/rtp/239.69.1.74:10084
华中_CCTV第一剧场_电信,http://221.232.101.218:4022/rtp/239.69.1.74:10084
华中_CCTV第一剧场_联通,http://171.125.90.44:6001/rtp/226.0.2.221:9680
华中_CCTV风云剧场_联通,http://171.125.90.44:6001/rtp/226.0.2.227:9728
华中_CHC动作电影_电信,http://221.234.143.214:8880/rtp/239.69.1.242:11094
华中_CHC动作电影_电信,http://119.98.183.124:8000/rtp/239.69.1.242:11094
