央视｜电信,#genre#
CCTV1_电信,http://220.164.3.48:4022/udp/239.200.200.70:8008
CCTV1_电信,http://220.164.3.48:4022/udp/239.200.201.138:8556
CCTV1_电信,http://220.164.3.48:4022/udp/239.200.201.135:8880
CCTV1_电信,http://220.164.3.48:4022/udp/239.200.200.95:8044
CCTV2_电信,http://220.164.3.48:4022/udp/239.200.200.104:8084
CCTV3_电信,http://220.164.3.48:4022/udp/239.200.200.71:8012
CCTV4K_电信,http://220.164.3.48:4022/udp/239.200.200.202:8784
CCTV4_电信,http://220.164.3.48:4022/udp/239.200.201.180:4220
CCTV4_电信,http://220.164.3.48:4022/udp/239.200.200.128:8652
CCTV4美洲_电信,http://220.164.3.48:4022/udp/239.200.201.181:4220
CCTV5+_电信,http://220.164.3.48:4022/udp/239.200.200.9:8004
CCTV5_电信,http://220.164.3.48:4022/udp/239.200.200.10:9008
CCTV5_电信,http://220.164.3.48:4022/udp/239.200.201.5:4120
CCTV6_电信,http://220.164.3.48:4022/udp/239.200.200.21:9020
CCTV7_电信,http://220.164.3.48:4022/udp/239.200.200.105:8104
CCTV10_电信,http://220.164.3.48:4022/udp/239.200.200.107:8116
CCTV11_电信,http://220.164.3.48:4022/udp/239.200.201.125:8480
CCTV14_电信,http://220.164.3.48:4022/udp/239.200.200.109:8132
CCTV15_电信,http://220.164.3.48:4022/udp/239.200.201.112:8496
CCTV16_电信,http://220.164.3.48:4022/udp/239.200.200.193:8776
CCTV17_电信,http://220.164.3.48:4022/udp/239.200.201.128:8504
CCTV世界地理_电信,http://220.164.3.48:4022/udp/239.200.200.130:8012
CCTV兵器科技_电信,http://220.164.3.48:4022/udp/239.200.200.91:8036
CCTV台球_电信,http://220.164.3.48:4022/udp/239.200.200.135:8076
CCTV女性时尚_电信,http://220.164.3.48:4022/udp/239.200.200.100:8084
CCTV怀旧剧场_电信,http://220.164.3.48:4022/udp/239.200.200.85:8032
CCTV文化精品_电信,http://220.164.3.48:4022/udp/239.200.200.92:8028
CCTV电视指南_电信,http://220.164.3.48:4022/udp/239.200.200.83:8000
CCTV第一剧场_电信,http://220.164.3.48:4022/udp/239.200.200.82:8004
CCTV老故事_电信,http://220.164.3.48:4022/udp/239.200.200.93:8088
CCTV音乐风云_电信,http://220.164.3.48:4022/udp/239.200.200.86:8008
CCTV风云剧场_电信,http://220.164.3.48:4022/udp/239.200.200.84:8016
CCTV高尔夫网球_电信,http://220.164.3.48:4022/udp/239.200.200.89:8024
卫视｜电信,#genre#
三沙卫视_电信,http://220.164.3.48:4022/udp/239.200.201.136:8140
东南卫视_电信,http://220.164.3.48:4022/udp/239.200.201.69:8764
云南卫视_电信,http://220.164.3.48:4022/udp/239.200.200.145:8840
内蒙古卫视_电信,http://220.164.3.48:4022/udp/239.200.200.57:8296
北京卫视_电信,http://220.164.3.48:4022/udp/239.200.200.5:8024
吉林卫视_电信,http://220.164.3.48:4022/udp/239.200.201.127:8792
四川卫视_电信,http://220.164.3.48:4022/udp/239.200.201.137:8796
天津卫视_电信,http://220.164.3.48:4022/udp/239.200.200.69:1234
宁夏卫视_电信,http://220.164.3.48:4022/udp/239.200.200.60:8308
山东教育卫视_电信,http://220.164.3.48:4022/udp/239.200.201.77:8132
山西卫视_电信,http://220.164.3.48:4022/udp/239.200.200.56:8292
广东卫视_电信,http://220.164.3.48:4022/udp/239.200.201.35:8768
广西卫视_电信,http://220.164.3.48:4022/udp/239.200.200.53:8280
新疆卫视_电信,http://220.164.3.48:4022/udp/239.200.200.62:8316
江苏卫视_电信,http://220.164.3.48:4022/udp/239.200.200.7:8028
江西卫视_电信,http://220.164.3.48:4022/udp/239.200.201.79:8876
河北卫视_电信,http://220.164.3.48:4022/udp/239.200.200.12:8844
河南卫视_电信,http://220.164.3.48:4022/udp/239.200.201.158:8412
浙江卫视_电信,http://220.164.3.48:4022/udp/239.200.200.141:8724
海南卫视_电信,http://220.164.3.48:4022/udp/239.200.201.159:8408
深圳卫视_电信,http://220.164.3.48:4022/udp/239.200.200.67:8776
湖北卫视_电信,http://220.164.3.48:4022/udp/239.200.200.68:8772
湖南卫视_电信,http://220.164.3.48:4022/udp/239.200.200.6:8012
甘肃卫视_电信,http://220.164.3.48:4022/udp/239.200.200.186:8356
西藏卫视_电信,http://220.164.3.48:4022/udp/239.200.200.61:8312
贵州卫视_电信,http://220.164.3.48:4022/udp/239.200.201.119:8788
辽宁卫视_电信,http://220.164.3.48:4022/udp/239.200.200.167:8736
陕西卫视_电信,http://220.164.3.48:4022/udp/239.200.200.55:8288
青海卫视_电信,http://220.164.3.48:4022/udp/239.200.200.58:8300
黑龙江卫视_电信,http://220.164.3.48:4022/udp/239.200.200.66:8016
其他｜电信,#genre#
CETV1_电信,http://220.164.3.48:4022/udp/239.200.201.49:8756
CETV1_电信,http://220.164.3.48:4022/udp/239.200.201.145:8852
CETV2_电信,http://220.164.3.48:4022/udp/239.200.201.121:8780
CGTN_电信,http://220.164.3.48:4022/udp/239.200.201.182:4220
CGTN_电信,http://220.164.3.48:4022/udp/239.200.201.185:4220
CGTN_电信,http://220.164.3.48:4022/udp/239.200.201.184:4220
CGTN_电信,http://220.164.3.48:4022/udp/239.200.201.187:4220
CGTN_电信,http://220.164.3.48:4022/udp/239.200.201.186:4220
CGTN_电信,http://220.164.3.48:4022/udp/239.200.201.183:4220
CGTN_电信,http://220.164.3.48:4022/udp/239.200.200.30:8500
CHC动作电影_电信,http://220.164.3.48:4022/udp/239.200.201.31:8144
CHC电影_电信,http://220.164.3.48:4022/udp/239.200.201.34:8148
书画世界_电信,http://220.164.3.48:4022/udp/239.200.201.133:8072
云南娱乐_电信,http://220.164.3.48:4022/udp/239.200.200.13:8848
云南少儿_电信,http://220.164.3.48:4022/udp/239.200.200.32:8864
云南康旅_电信,http://220.164.3.48:4022/udp/239.200.200.31:8860
优优宝贝_电信,http://220.164.3.48:4022/udp/239.200.201.173:8644
先锋乒羽_电信,http://220.164.3.48:4022/udp/239.200.201.33:4120
四海钓鱼_电信,http://220.164.3.48:4022/udp/239.200.201.171:8636
国学_电信,http://220.164.3.48:4022/udp/239.200.200.97:8108
大湾区_电信,http://220.164.3.48:4022/udp/239.200.201.146:8136
央广购物_电信,http://220.164.3.48:4022/udp/239.200.200.174:8772
娱乐_电信,http://220.164.3.48:4022/udp/239.200.200.79:1234
家庭理财_电信,http://220.164.3.48:4022/udp/239.200.201.177:8656
家有精选_电信,http://220.164.3.48:4022/udp/239.200.200.14:8852
文物宝库_电信,http://220.164.3.48:4022/udp/239.200.200.96:8112
