央视｜联通,#genre#
CCTV1_联通,http://110.7.130.15:4022/udp/239.125.2.66:4120
CCTV1_联通,http://110.7.130.15:4022/udp/239.125.1.177:4130
CCTV2_联通,http://110.7.130.15:4022/udp/239.125.2.65:4120
CCTV2_联通,http://110.7.130.15:4022/udp/239.125.1.118:4130
CCTV3_联通,http://110.7.130.15:4022/udp/239.125.2.52:4120
CCTV4_联通,http://110.7.130.15:4022/udp/239.125.2.196:4120
CCTV4_联通,http://110.7.130.15:4022/udp/239.125.1.141:4130
CCTV5+_联通,http://110.7.130.15:4022/udp/239.125.1.57:5000
CCTV5_联通,http://110.7.130.15:4022/udp/239.125.2.54:4120
CCTV6_联通,http://110.7.130.15:4022/udp/239.125.2.56:4120
CCTV6_联通,http://110.7.130.229:9901/tsfile/live/0006_1.m3u8
CCTV7_联通,http://110.7.130.15:4022/udp/239.125.2.63:4120
CCTV7_联通,http://110.7.130.15:4022/udp/239.125.1.131:4130
CCTV8_联通,http://110.7.130.15:4022/udp/239.125.2.58:4120
CCTV9_联通,http://110.7.130.15:4022/udp/239.125.2.62:4120
CCTV10_联通,http://110.7.130.15:4022/udp/239.125.2.61:4120
CCTV10_联通,http://110.7.130.15:4022/udp/239.125.1.143:4130
CCTV11_联通,http://110.7.130.15:4022/udp/239.125.1.134:4130
CCTV12_联通,http://110.7.130.15:4022/udp/239.125.1.161:4130
CCTV13_联通,http://110.7.130.15:4022/udp/239.125.1.53:4120
CCTV15_联通,http://110.7.130.15:4022/udp/239.125.1.102:4120
CCTV16_联通,http://110.7.130.15:4022/udp/239.125.2.206:4120
CCTV17_联通,http://110.7.130.15:4022/udp/239.125.2.204:4120
CCTVNEWS_联通,http://110.7.130.15:4022/udp/239.125.1.140:4130
卫视｜联通,#genre#
东南卫视_联通,http://110.7.130.15:4022/udp/239.125.1.164:4130
东南卫视_联通,http://110.7.130.15:4022/udp/239.125.2.77:4120
东方卫视_联通,http://110.7.130.15:4022/udp/239.125.2.82:4120
东方卫视_联通,http://110.7.130.15:4022/udp/239.125.1.116:4130
云南卫视_联通,http://110.7.130.15:4022/udp/239.125.1.160:4130
兵团卫视_联通,http://110.7.130.15:4022/udp/239.125.1.135:4130
内蒙古卫视_联通,http://110.7.130.15:4022/udp/239.125.1.59:5000
内蒙古蒙古语卫视_联通,http://110.7.130.15:4022/udp/239.125.1.66:5000
北京卫视_联通,http://110.7.130.15:4022/udp/239.125.2.73:4120
四川卫视_联通,http://110.7.130.15:4022/udp/239.125.2.79:4120
四川卫视_联通,http://110.7.130.15:4022/udp/239.125.1.175:4130
天津卫视_联通,http://110.7.130.15:4022/udp/239.125.2.81:4120
天津卫视_联通,http://110.7.130.15:4022/udp/239.125.1.153:4130
宁夏卫视_联通,http://110.7.130.15:4022/udp/239.125.1.157:4130
安徽卫视_联通,http://110.7.130.15:4022/udp/239.125.1.173:4130
安徽卫视_联通,http://110.7.130.15:4022/udp/239.125.2.78:4120
山东卫视_联通,http://110.7.130.15:4022/udp/239.125.2.75:4120
山东教育卫视_联通,http://110.7.130.15:4022/udp/239.125.1.178:4130
广东卫视_联通,http://110.7.130.15:4022/udp/239.125.2.71:4120
广东卫视_联通,http://110.7.130.15:4022/udp/239.125.1.154:4130
广西卫视_联通,http://110.7.130.15:4022/udp/239.125.1.167:4130
江苏卫视_联通,http://110.7.130.15:4022/udp/239.125.2.69:4120
江苏卫视_联通,http://110.7.130.15:4022/udp/239.125.1.172:4130
河北卫视_联通,http://110.7.130.15:4022/udp/239.125.1.169:4130
河南卫视_联通,http://110.7.130.15:4022/udp/239.125.1.156:4130
浙江卫视_联通,http://110.7.130.15:4022/udp/239.125.2.68:4120
浙江卫视_联通,http://110.7.130.15:4022/udp/239.125.1.159:4130
海南卫视_联通,http://110.7.130.15:4022/udp/239.125.2.189:4120
海南卫视_联通,http://110.7.130.15:4022/udp/239.125.1.165:4130
湖北卫视_联通,http://110.7.130.15:4022/udp/239.125.2.74:4120
湖北卫视_联通,http://110.7.130.15:4022/udp/239.125.1.152:4130
湖南卫视_联通,http://110.7.130.15:4022/udp/239.125.2.67:4120
湖南卫视_联通,http://110.7.130.15:4022/udp/239.125.1.170:4130
甘肃卫视_联通,http://110.7.130.15:4022/udp/239.125.1.151:4130
贵州卫视_联通,http://110.7.130.15:4022/udp/239.125.1.158:4130
贵州卫视_联通,http://110.7.130.15:4022/udp/239.125.2.80:4120
辽宁卫视_联通,http://110.7.130.15:4022/udp/239.125.2.72:4120
重庆卫视_联通,http://110.7.130.15:4022/udp/239.125.1.168:4130
陕西卫视_联通,http://110.7.130.15:4022/udp/239.125.1.155:4130
青海卫视_联通,http://110.7.130.15:4022/udp/239.125.1.150:4130
黑龙江卫视_联通,http://110.7.130.15:4022/udp/239.125.2.83:4120
其他｜联通,#genre#
中国教育1_联通,http://110.7.130.15:4022/udp/239.125.1.139:4130
CETV2_联通,http://110.7.130.15:4022/udp/239.125.1.29:5000
CETV4_联通,http://110.7.130.15:4022/udp/239.125.1.110:4120
爱上4K_联通,http://110.7.130.15:4022/udp/239.125.1.24:5000
CGTN法语_联通,http://110.7.130.15:4022/udp/239.125.2.201:4120
CGTN英文纪录_联通,http://110.7.130.15:4022/udp/239.125.2.199:4120
CGTN西班牙语_联通,http://110.7.130.15:4022/udp/239.125.2.200:4120
CGTN阿拉伯语_联通,http://110.7.130.15:4022/udp/239.125.2.202:4120
IPTV法治_联通,http://110.7.130.15:4022/udp/239.125.1.56:5000
IPTV相声小品_联通,http://110.7.130.15:4022/udp/239.125.1.30:5000
IPTV野外_联通,http://110.7.130.15:4022/udp/234.1.3.126:5000
优购物_联通,http://110.7.130.15:4022/udp/239.125.1.138:4130
光影_联通,http://110.7.130.15:4022/udp/239.125.1.49:5000
全纪实_联通,http://110.7.130.15:4022/udp/239.125.1.38:5000
内蒙古新闻_联通,http://110.7.130.15:4022/udp/239.125.1.70:4120
内蒙古经济_联通,http://110.7.130.15:4022/udp/239.125.1.74:4120
军旅剧场_联通,http://110.7.130.15:4022/udp/239.125.1.147:4130
动漫秀场_联通,http://110.7.130.15:4022/udp/239.125.1.31:5000
卡酷动画_联通,http://110.7.130.15:4022/udp/239.125.1.127:4130
喜剧影院_联通,http://110.7.130.15:4022/udp/239.125.1.52:5000
嘉佳卡通_联通,http://110.7.130.15:4022/udp/239.125.2.213:4120
地理_联通,http://110.7.130.15:4022/udp/239.125.1.41:5000
城市剧场_联通,http://110.7.130.15:4022/udp/239.125.1.148:4130
央广购物_联通,http://110.7.130.15:4022/udp/239.125.2.14:4120
好享购物_联通,http://110.7.130.15:4022/udp/239.125.44.2:5000
好学生_联通,http://110.7.130.15:4022/udp/239.125.1.17:4120
家庭影院_联通,http://110.7.130.15:4022/udp/239.125.1.54:5000
家有购物_联通,http://110.7.130.15:4022/udp/239.125.1.137:4130
收视指南_联通,http://110.7.130.15:4022/udp/239.125.44.3:5000
早教_联通,http://110.7.130.15:4022/udp/239.125.1.44:5000
星影_联通,http://110.7.130.15:4022/udp/239.125.1.55:5000
武侠剧场_联通,http://110.7.130.15:4022/udp/239.125.1.145:4130
游戏风云_联通,http://110.7.130.15:4022/udp/239.125.1.33:5000
热播剧场_联通,http://110.7.130.15:4022/udp/239.125.1.125:4130
爱体育_联通,http://110.7.130.15:4022/udp/239.125.1.122:4130
爱生活_联通,http://110.7.130.15:4022/udp/239.125.1.50:5000
精选_联通,http://110.7.130.15:4022/udp/239.125.1.43:5000
经典电影_联通,http://110.7.130.15:4022/udp/239.125.1.28:5000
足球_联通,http://110.7.130.15:4022/udp/239.125.1.51:5000
金色_联通,http://110.7.130.15:4022/udp/239.125.1.39:5000
金鹰卡通_联通,http://110.7.130.15:4022/udp/239.125.1.128:4130
鉴赏_联通,http://110.7.130.15:4022/udp/239.125.1.47:5000
音乐现场_联通,http://110.7.130.15:4022/udp/239.125.1.40:5000
魅力时尚_联通,http://110.7.130.15:4022/udp/239.125.1.27:5000
