央视｜联通,#genre#
CCTV4美洲_联通,http://123.120.109.255:4022/rtp/239.3.1.214:4220
CCTV7_联通,http://123.122.162.250:19999/rtp/239.3.1.61:8104
CCTV7_联通,http://123.120.109.255:4022/rtp/239.3.1.61:8104
卫视｜联通,#genre#
东方卫视_联通,http://123.120.109.255:4022/rtp/239.3.1.136:8032
天津卫视_联通,http://114.254.94.104:2222/rtp/239.3.1.141:1234
广东卫视_联通,http://111.197.130.1:1314/rtp/239.3.1.142:8048
西藏卫视_联通,http://123.120.109.255:4022/rtp/239.3.1.47:8164
辽宁卫视_联通,http://123.120.109.255:4022/rtp/239.3.1.210:8056
青海卫视_联通,http://123.120.109.255:4022/rtp/239.3.1.44:8184
其他｜联通,#genre#
爱上4K超清_联通,http://123.120.109.255:4022/rtp/239.3.1.236:2000
BRTV体育休闲超清_联通,http://123.120.109.255:4022/rtp/239.3.1.243:8000
BRTV纪实科教_联通,http://123.120.109.255:4022/rtp/239.3.1.115:8000
CGTN法语_联通,http://123.120.109.255:4022/rtp/239.3.1.218:4220
光影_联通,http://123.120.109.255:4022/rtp/239.3.1.84:4120
军旅剧场_联通,http://111.197.130.1:1314/rtp/239.3.1.68:4120
大健康_联通,http://123.120.109.255:4022/rtp/239.3.1.251:8001
好学生_联通,http://111.197.130.1:1314/rtp/239.3.1.81:4120
房山电视台_联通,http://123.120.109.255:4022/rtp/239.3.1.96:8001
淘娱乐_联通,http://123.120.109.255:4022/rtp/239.3.1.100:8001
淘精彩_联通,http://123.120.109.255:4022/rtp/239.3.1.178:8001
淘精彩_联通,http://123.122.162.250:19999/rtp/239.3.1.178:8001
纪实人文_联通,http://123.120.109.255:4022/rtp/239.3.1.212:8060
