央视｜电信,#genre#
CCTV2_电信,http://183.165.129.183:8888/rtp/238.1.78.235:7752
CCTV5+_电信,http://183.165.129.183:8888/rtp/238.1.78.237:7768
CCTV5_电信,http://183.165.129.183:8888/rtp/238.1.78.171:7240
CCTV11_电信,http://183.165.129.183:8888/rtp/238.1.78.206:7502
CCTV17_电信,http://183.165.129.183:8888/rtp/238.1.78.178:7296
CCTV台球_电信,http://183.165.129.183:8888/rtp/238.1.79.59:4608
CCTV文化精品_电信,http://183.165.129.183:8888/rtp/238.1.79.54:4568
卫视｜电信,#genre#
深圳卫视_电信,http://183.165.129.183:8888/rtp/238.1.78.156:7120
湖南卫视_电信,http://183.165.129.183:8888/rtp/238.1.78.160:7152
其他｜电信,#genre#
五河新闻综合_电信,http://183.165.129.183:8888/rtp/238.1.79.52:4528
安庆新闻综合_电信,http://183.165.129.183:8888/rtp/238.1.78.117:6808
安徽公共_电信,http://183.165.129.183:8888/rtp/238.1.79.43:4456
家家购物_电信,http://183.165.129.183:8888/rtp/238.1.78.32:6184
池州公共_电信,http://183.165.129.183:8888/rtp/238.1.78.148:7056
金鹰纪实_电信,http://183.165.129.183:8888/rtp/238.1.79.9:4184
铜陵科教_电信,http://183.165.129.183:8888/rtp/238.1.78.141:7000
阜阳教育_电信,http://183.165.129.183:8888/rtp/238.1.78.126:6880
霍山综合_电信,http://183.165.129.183:8888/rtp/238.1.78.220:7632
马鞍山新闻综合_电信,http://183.165.129.183:8888/rtp/238.1.79.15:4232
黄山公共_电信,http://183.165.129.183:8888/rtp/238.1.78.131:6920
