央视｜联通,#genre#
CCTV1_联通,http://119.166.7.60:6666/udp/239.253.254.77:8000
CCTV3_联通,http://119.166.7.60:6666/udp/239.253.254.191:8000
CCTV4_联通,http://119.166.7.60:6666/udp/239.253.254.187:8000
CCTV5+_联通,http://119.166.7.60:6666/udp/239.253.254.80:8000
CCTV6_联通,http://119.166.7.60:6666/udp/239.253.254.193:8000
CCTV8_联通,http://119.166.7.60:6666/udp/239.253.254.194:8000
CCTV10_联通,http://119.166.7.60:6666/udp/239.253.254.234:8000
CCTV11_联通,http://119.166.7.60:6666/udp/239.253.254.169:8000
CCTV12_联通,http://119.166.7.60:6666/udp/239.253.254.235:8000
CCTV15_联通,http://119.166.7.60:6666/udp/239.253.254.170:8000
CCTV17_联通,http://119.166.7.60:6666/udp/239.253.254.168:8000
卫视｜联通,#genre#
东南卫视_联通,http://119.166.7.60:6666/udp/239.253.254.105:8000
东方卫视_联通,http://119.166.7.60:6666/udp/239.253.254.86:8000
云南卫视_联通,http://119.166.7.60:6666/udp/239.253.254.196:8000
北京卫视_联通,http://119.166.7.60:6666/udp/239.253.254.85:8000
吉林卫视_联通,http://119.166.7.60:6666/udp/239.253.254.173:8000
天津卫视_联通,http://119.166.7.60:6666/udp/239.253.254.89:8000
安徽卫视_联通,http://119.166.7.60:6666/udp/239.253.254.87:8000
山东卫视_联通,http://119.166.7.60:6666/udp/239.253.254.78:8000
山东教育卫视_联通,http://119.166.7.60:6666/udp/239.253.254.59:8000
广东卫视_联通,http://119.166.7.60:6666/udp/239.253.254.90:8000
江苏卫视_联通,http://119.166.7.60:6666/udp/239.253.254.83:8000
江西卫视_联通,http://119.166.7.60:6666/udp/239.253.254.47:8000
河北卫视_联通,http://119.166.7.60:6666/udp/239.253.254.112:8000
河南卫视_联通,http://119.166.7.60:6666/udp/239.253.254.190:8000
浙江卫视_联通,http://119.166.7.60:6666/udp/239.253.254.84:8000
海南卫视_联通,http://119.166.7.60:6666/udp/239.253.254.179:8000
甘肃卫视_联通,http://119.166.7.60:6666/udp/239.253.254.74:8000
贵州卫视_联通,http://119.166.7.60:6666/udp/239.253.254.113:8000
辽宁卫视_联通,http://119.166.7.60:6666/udp/239.253.254.92:8000
重庆卫视_联通,http://119.166.7.60:6666/udp/239.253.254.38:8000
其他｜联通,#genre#
CGTN_联通,http://119.166.7.60:6666/udp/239.253.254.185:8000
CGTN_联通,http://119.166.7.60:6666/udp/239.253.254.189:8000
CHC家庭影院_联通,http://119.166.7.60:6666/udp/239.253.254.152:8000
动漫秀场_联通,http://119.166.7.60:6666/udp/239.253.254.115:8000
卡酷少儿_联通,http://119.166.7.60:6666/udp/239.253.254.66:8000
四海钓鱼_联通,http://119.166.7.60:6666/udp/239.253.254.109:8000
四海钓鱼_联通,http://119.166.7.60:6666/udp/239.253.254.144:8000
山东体育_联通,http://119.166.7.60:6666/udp/239.253.254.22:8000
山东少儿_联通,http://119.166.7.60:6666/udp/239.253.254.25:8000
山东文旅_联通,http://119.166.7.60:6666/udp/239.253.254.160:8000
山东生活_联通,http://119.166.7.60:6666/udp/239.253.254.151:8000
山东综艺_联通,http://119.166.7.60:6666/udp/239.253.254.159:8000
山东购物_联通,http://119.166.7.60:6666/udp/239.253.254.104:8000
山东齐鲁_联通,http://119.166.7.60:6666/udp/239.253.254.114:8000
平度_联通,http://119.166.7.60:6666/udp/239.253.254.248:8000
文物宝库_联通,http://119.166.7.60:6666/udp/239.253.254.141:8000
梨园_联通,http://119.166.7.60:6666/udp/239.253.254.139:8000
海洋_联通,http://119.166.7.60:6666/udp/239.253.254.67:8000
游戏风云_联通,http://119.166.7.60:6666/udp/239.253.254.95:8000
生活时尚_联通,http://119.166.7.60:6666/udp/239.253.254.99:8000
综合_联通,http://119.166.7.60:6666/udp/239.253.254.246:8000
茶_联通,http://119.166.7.60:6666/udp/239.253.254.143:8000
莱西_联通,http://119.166.7.60:6666/udp/239.253.254.247:8000
金色学堂_联通,http://119.166.7.60:6666/udp/239.253.254.101:8000
金鹰卡通_联通,http://119.166.7.60:6666/udp/239.253.254.117:8000
金鹰纪实_联通,http://119.166.7.60:6666/udp/239.253.254.103:8000
青岛李沧_联通,http://119.166.7.60:6666/udp/239.253.254.250:8000
魅力足球_联通,http://119.166.7.60:6666/udp/239.253.254.100:8000
