卫视｜电信,#genre#
北京卫视_电信,http://113.64.145.121:8081/hls/45/index.m3u8
山东卫视_电信,http://113.64.145.229:8081/hls/75/index.m3u8
山东卫视_电信,http://113.64.145.121:8081/hls/75/index.m3u8
山东教育卫视_电信,http://113.64.145.121:8081/hls/72/index.m3u8
新疆卫视_电信,http://113.64.145.61:8081/hls/82/index.m3u8
本港卫视台_电信,http://113.64.145.61:8081/hls/135/index.m3u8
其他｜电信,#genre#
中国气象_电信,http://113.64.145.121:8081/hls/33/index.m3u8
广东新闻_电信,http://183.6.110.241:9901/hls/1051/index.m3u8
经典电影_电信,http://113.64.145.121:8081/hls/61/index.m3u8
