央视｜电信,#genre#
CCTV8_电信,http://58.220.219.14:9901/tsfile/live/0008_1.m3u8
CCTV15_电信,http://58.220.219.14:9901/tsfile/live/0015_1.m3u8
卫视｜电信,#genre#
东南卫视_电信,http://58.220.219.14:9901/tsfile/live/0137_1.m3u8
内蒙古卫视_电信,http://58.220.219.14:9901/tsfile/live/0114_1.m3u8
北京卫视_电信,http://58.220.219.14:9901/tsfile/live/0122_1.m3u8
四川卫视_电信,http://58.220.219.14:9901/tsfile/live/0123_1.m3u8
山东卫视_电信,http://58.220.219.14:9901/tsfile/live/0131_1.m3u8
山西卫视_电信,http://58.220.219.14:9901/tsfile/live/0118_1.m3u8
广东卫视_电信,http://58.220.219.14:9901/tsfile/live/0125_1.m3u8
广西卫视_电信,http://58.220.219.14:9901/tsfile/live/0113_1.m3u8
江苏卫视_电信,http://58.220.219.14:9901/tsfile/live/0127_1.m3u8
河南卫视_电信,http://58.220.219.14:9901/tsfile/live/0139_1.m3u8
浙江卫视_电信,http://58.220.219.14:9901/tsfile/live/0124_1.m3u8
海南卫视_电信,http://58.220.219.14:9901/tsfile/live/0120_2.m3u8
深圳卫视_电信,http://58.220.219.14:9901/tsfile/live/0126_1.m3u8
重庆卫视_电信,http://58.220.219.14:9901/tsfile/live/0142_1.m3u8
其他｜电信,#genre#
江苏综艺_电信,http://58.220.219.14:9901/tsfile/live/0120_4.m3u8
