央视｜电信,#genre#
CCTV1_电信,http://111.227.237.137:4022/rtp/239.254.200.45:8008
CCTV2_电信,http://111.227.237.137:4022/rtp/239.254.200.158:6000
CCTV3_电信,http://111.227.237.137:4022/rtp/239.254.201.152:7205
CCTV4_电信,http://111.227.237.137:4022/rtp/239.254.201.205:4220
CCTV4_电信,http://111.227.237.137:4022/rtp/239.254.200.190:6307
CCTV4美洲_电信,http://111.227.237.137:4022/rtp/239.254.201.206:4220
CCTV5+_电信,http://111.227.237.137:4022/rtp/239.254.200.46:8004
CCTV5_电信,http://111.227.237.137:4022/rtp/239.254.201.153:7206
CCTV5_电信,http://111.227.237.137:4022/rtp/239.254.200.14:6000
CCTV6_电信,http://111.227.237.137:4022/rtp/239.254.201.154:7207
CCTV7_电信,http://111.227.237.137:4022/rtp/239.254.200.159:6000
CCTV8_电信,http://111.227.237.137:4022/rtp/239.254.201.155:7208
CCTV8_电信,http://111.227.237.137:4022/rtp/239.254.200.16:6000
CCTV9_电信,http://111.227.237.137:4022/rtp/239.254.200.59:8112
CCTV10_电信,http://111.227.237.137:4022/rtp/239.254.200.160:6000
CCTV11_电信,http://111.227.237.137:4022/rtp/239.254.201.123:8120
CCTV12_电信,http://111.227.237.137:4022/rtp/239.254.200.161:6000
CCTV13_电信,http://111.227.237.137:4022/rtp/239.254.200.9:8264
CCTV14_电信,http://111.227.237.137:4022/rtp/239.254.200.162:6000
CCTV15_电信,http://111.227.237.137:4022/rtp/239.254.201.124:8136
CCTV17_电信,http://111.227.237.137:4022/rtp/239.254.201.120:8144
CCTV台球_电信,http://111.227.237.137:4022/rtp/239.254.201.171:7176
央视｜联通,#genre#
CCTV1_联通,http://101.18.126.114:8888/rtp/239.253.92.83:8012
CCTV2_联通,http://101.18.126.114:8888/rtp/239.253.92.190:6065
CCTV3_联通,http://101.18.126.114:8888/rtp/239.253.92.191:6057
CCTV4K_联通,http://101.18.126.114:8888/rtp/239.253.93.134:6631
CCTV4美洲_联通,http://101.18.126.114:8888/rtp/239.253.93.193:6371
CCTV5_联通,http://101.18.126.114:8888/rtp/239.253.92.181:6046
CCTV6_联通,http://101.18.126.114:8888/rtp/239.253.92.193:6058
CCTV6_联通,http://120.7.85.155:8088/hls/6/index.m3u8
CCTV7_联通,http://101.18.126.114:8888/rtp/239.253.92.194:6059
CCTV9_联通,http://101.18.126.114:8888/rtp/239.253.92.107:6020
CCTV11_联通,http://101.18.126.114:8888/rtp/239.253.93.153:6321
CCTV12_联通,http://101.18.126.114:8888/rtp/239.253.92.197:6062
CCTV12_联通,http://120.7.85.155:8088/hls/12/index.m3u8
CCTV13_联通,http://120.7.85.155:8088/hls/13/index.m3u8
CCTV14_联通,http://101.18.126.114:8888/rtp/239.253.92.198:6063
CCTV17_联通,http://101.18.126.114:8888/rtp/239.253.93.150:6318
CCTV17_联通,http://121.24.98.9:8090/hls/15/index.m3u8
CCTV中学生_联通,http://121.24.99.144:8090/hls/24/index.m3u8
CCTV台球_联通,http://101.18.126.114:8888/rtp/239.253.93.231:6409
卫视｜电信,#genre#
东南卫视_电信,http://111.227.237.137:4022/rtp/239.254.201.13:6291
东方卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.52:8032
云南卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.68:8108
内蒙古卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.84:8176
凤凰卫视中文台_电信,http://111.227.237.137:4022/rtp/239.254.201.2:5226
凤凰卫视电影台_电信,http://111.227.237.137:4022/rtp/239.254.201.1:5214
凤凰卫视资讯_电信,http://111.227.237.137:4022/rtp/239.254.201.3:5227
北京卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.47:8024
吉林卫视_电信,http://111.227.237.137:4022/rtp/239.254.201.15:6339
四川卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.202:6325
天津卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.54:1234
宁夏卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.87:8124
安徽卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.163:6000
山东卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.55:8052
山东教育卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.247:4120
山西卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.83:8172
广东卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.56:8048
广西卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.80:8300
新疆卫视_电信,http://111.227.237.137:4022/rtp/239.254.200.89:8160
