央视｜联通,#genre#
CCTV1_联通,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8
CCTV2_联通,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8
CCTV3_联通,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8
CCTV4_联通,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8
CCTV5_联通,http://60.12.183.46:9901/tsfile/live/0005_1.m3u8
CCTV6_联通,http://60.12.183.46:9901/tsfile/live/0006_1.m3u8
CCTV7_联通,http://60.12.183.46:9901/tsfile/live/0007_1.m3u8
CCTV8_联通,http://60.12.183.46:9901/tsfile/live/0008_1.m3u8
CCTV9_联通,http://60.12.183.46:9901/tsfile/live/0009_1.m3u8
CCTV10_联通,http://60.12.183.46:9901/tsfile/live/0010_1.m3u8
CCTV11_联通,http://60.12.183.46:9901/tsfile/live/0011_1.m3u8
CCTV12_联通,http://60.12.183.46:9901/tsfile/live/0012_1.m3u8
CCTV13_联通,http://60.12.183.46:9901/tsfile/live/0013_1.m3u8
CCTV14_联通,http://60.12.183.46:9901/tsfile/live/0014_1.m3u8
CCTV15_联通,http://60.12.183.46:9901/tsfile/live/0015_1.m3u8
卫视｜电信,#genre#
贵州卫视_电信,http://61.175.237.198:9901/tsfile/live/0120_1.m3u8
卫视｜联通,#genre#
东南卫视_联通,http://60.12.183.46:9901/tsfile/live/0131_1.m3u8
东方卫视_联通,http://60.12.183.46:9901/tsfile/live/0018_1.m3u8
云南卫视_联通,http://60.12.183.46:9901/tsfile/live/0110_1.m3u8
北京卫视_联通,http://60.12.183.46:9901/tsfile/live/0015_2.m3u8
吉林卫视_联通,http://60.12.183.46:9901/tsfile/live/0138_1.m3u8
四川卫视_联通,http://60.12.183.46:9901/tsfile/live/0128_1.m3u8
天津卫视_联通,http://60.12.183.46:9901/tsfile/live/0120_1.m3u8
安徽卫视_联通,http://60.12.183.46:9901/tsfile/live/0130_2.m3u8
山东卫视_联通,http://60.12.183.46:9901/tsfile/live/0125_1.m3u8
山西卫视_联通,http://60.12.183.46:9901/tsfile/live/0109_1.m3u8
广东卫视_联通,http://60.12.183.46:9901/tsfile/live/0107_1.m3u8
广西卫视_联通,http://60.12.183.46:9901/tsfile/live/0112_1.m3u8
江苏卫视_联通,http://60.12.183.46:9901/tsfile/live/0017_1.m3u8
江西卫视_联通,http://60.12.183.46:9901/tsfile/live/0130_1.m3u8
河北卫视_联通,http://60.12.183.46:9901/tsfile/live/0111_1.m3u8
河南卫视_联通,http://60.12.183.46:9901/tsfile/live/0121_1.m3u8
湖北卫视_联通,http://60.12.183.46:9901/tsfile/live/0116_1.m3u8
湖南卫视_联通,http://60.12.183.46:9901/tsfile/live/0019_1.m3u8
贵州卫视_联通,http://60.12.183.46:9901/tsfile/live/0142_1.m3u8
辽宁卫视_联通,http://60.12.183.46:9901/tsfile/live/0123_1.m3u8
重庆卫视_联通,http://60.12.183.46:9901/tsfile/live/0122_1.m3u8
陕西卫视_联通,http://60.12.183.46:9901/tsfile/live/0118_1.m3u8
黑龙江卫视_联通,http://60.12.183.46:9901/tsfile/live/1001_1.m3u8
其他｜联通,#genre#
哈哈炫动_联通,http://60.12.183.46:9901/tsfile/live/0141_1.m3u8
金鹰卡通_联通,http://60.12.183.46:9901/tsfile/live/0140_1.m3u8
