央视｜联通,#genre#
CCTV1_联通,http://150.255.242.41:4022/rtp/239.254.96.82:7640
CCTV2_联通,http://150.255.242.41:4022/rtp/239.254.96.124:7084
CCTV3_联通,http://150.255.242.41:4022/rtp/239.254.96.67:7520
CCTV4_联通,http://150.255.242.41:4022/rtp/239.254.96.180:7092
CCTV5+_联通,http://150.255.242.41:4022/rtp/239.254.96.83:7004
CCTV5_联通,http://150.255.242.41:4022/rtp/239.254.96.66:7512
CCTV6_联通,http://150.255.242.41:4022/rtp/239.254.96.63:7488
CCTV7_联通,http://150.255.242.41:4022/rtp/239.254.96.125:7104
CCTV8_联通,http://150.255.242.41:4022/rtp/239.254.96.62:7480
CCTV9_联通,http://150.255.242.41:4022/rtp/239.254.96.126:7112
CCTV10_联通,http://150.255.242.41:4022/rtp/239.254.96.127:7116
CCTV11_联通,http://150.255.242.41:4022/rtp/239.254.96.187:8166
CCTV12_联通,http://150.255.242.41:4022/rtp/239.254.96.128:7124
CCTV13_联通,http://150.255.242.41:4022/rtp/239.254.96.200:8205
CCTV14_联通,http://150.255.242.41:4022/rtp/239.254.96.129:7132
CCTV15_联通,http://150.255.242.41:4022/rtp/239.254.96.188:8170
CCTV17_联通,http://150.255.242.41:4022/rtp/239.254.96.57:8204
CCTV164K_联通,http://150.255.242.41:4022/rtp/239.254.96.170:8206
卫视｜联通,#genre#
三沙卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.184:7158
东南卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.189:8172
东方卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.90:7704
云南卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.33:7248
兵团卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.153:8126
内蒙古卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.50:7384
北京卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.84:7656
厦门卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.152:8122
吉林卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.65:7504
天津卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.183:7364
宁夏卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.52:7400
安徽卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.133:7064
山东卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.131:7052
山东教育卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.151:8118
山西卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.49:7376
广东卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.130:7048
新疆卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.54:7416
江苏卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.88:7688
江西卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.61:7472
河北卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.181:7072
河南卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.34:7256
浙江卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.89:7696
海南卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.179:7154
深圳卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.87:7020
湖北卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.91:7712
湖南卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.85:7664
甘肃卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.55:7424
西藏卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.53:7408
贵州卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.182:7076
辽宁卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.132:7056
重庆卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.60:7464
陕西卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.48:7368
青海卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.51:7392
黑龙江卫视_联通,http://150.255.242.41:4022/rtp/239.254.96.86:7672
其他｜联通,#genre#
CETV1_联通,http://150.255.242.41:4022/rtp/239.254.96.167:8142
三亚1台_联通,http://150.255.242.41:4022/rtp/239.254.96.106:8832
教育1_联通,http://150.255.242.41:4022/rtp/239.254.96.155:7152
海口1台_联通,http://150.255.242.41:4022/rtp/239.254.96.103:7808
CETV2_联通,http://150.255.242.41:4022/rtp/239.254.96.168:8146
CETV4_联通,http://150.255.242.41:4022/rtp/239.254.96.169:8148
爱上4K_联通,http://150.255.242.41:4022/rtp/239.254.96.102:7800
CGTN_联通,http://150.255.242.41:4022/rtp/239.254.96.16:7112
CGTN英文纪录_联通,http://150.255.242.41:4022/rtp/239.254.96.58:7448
IPTV法治_联通,http://150.255.242.41:4022/rtp/239.254.96.81:7632
IPTV相声小品_联通,http://150.255.242.41:4022/rtp/239.254.96.78:7608
IPTV谍战剧场_联通,http://150.255.242.41:4022/rtp/239.254.96.77:7600
IPTV野外_联通,http://150.255.242.41:4022/rtp/239.254.96.80:7624
军事_联通,http://150.255.242.41:4022/rtp/239.254.96.140:8090
军旅剧场_联通,http://150.255.242.41:4022/rtp/239.254.96.136:8070
动作影院_联通,http://150.255.242.41:4022/rtp/239.254.96.148:8108
动画_联通,http://150.255.242.41:4022/rtp/239.254.96.93:8708
卡酷动画_联通,http://150.255.242.41:4022/rtp/239.254.96.69:7536
古装剧场_联通,http://150.255.242.41:4022/rtp/239.254.96.137:8078
台球_联通,http://150.255.242.41:4022/rtp/239.254.96.95:8716
喜剧影院_联通,http://150.255.242.41:4022/rtp/239.254.96.147:8106
嘉佳卡通_联通,http://150.255.242.41:4022/rtp/239.254.96.71:7552
国学_联通,http://150.255.242.41:4022/rtp/239.254.96.141:8094
地理_联通,http://150.255.242.41:4022/rtp/239.254.96.139:8086
城市剧场_联通,http://150.255.242.41:4022/rtp/239.254.96.150:8114
墨宝_联通,http://150.255.242.41:4022/rtp/239.254.96.94:8714
好学生_联通,http://150.255.242.41:4022/rtp/239.254.96.144:7994
家庭影院_联通,http://150.255.242.41:4022/rtp/239.254.96.149:8110
少儿动画_联通,http://150.255.242.41:4022/rtp/239.254.96.79:7616
戏曲_联通,http://150.255.242.41:4022/rtp/239.254.96.142:8096
收视指南_联通,http://150.255.242.41:4022/rtp/239.254.96.17:7120
文昌_联通,http://150.255.242.41:4022/rtp/239.254.96.107:7840
早教_联通,http://150.255.242.41:4022/rtp/239.254.96.143:8098
武侠剧场_联通,http://150.255.242.41:4022/rtp/239.254.96.92:8706
武术_联通,http://150.255.242.41:4022/rtp/239.254.96.98:8762
海南公共_联通,http://150.255.242.41:4022/rtp/239.254.96.186:8164
海南少儿_联通,http://150.255.242.41:4022/rtp/239.254.96.192:8178
海南文旅_联通,http://150.255.242.41:4022/rtp/239.254.96.191:8176
海南新闻_联通,http://150.255.242.41:4022/rtp/239.254.96.190:8174
海南自贸_联通,http://150.255.242.41:4022/rtp/239.254.96.185:8162
热播剧场_联通,http://150.255.242.41:4022/rtp/239.254.96.74:7576
爱体育_联通,http://150.255.242.41:4022/rtp/239.254.96.101:7792
爱大剧_联通,http://150.255.242.41:4022/rtp/239.254.96.8:7048
爱生活_联通,http://150.255.242.41:4022/rtp/239.254.96.145:7996
爱电影_联通,http://150.255.242.41:4022/rtp/239.254.96.6:7016
爱综艺_联通,http://150.255.242.41:4022/rtp/239.254.96.3:7004
精选_联通,http://150.255.242.41:4022/rtp/239.254.96.73:8212
