央视｜电信,#genre#
CCTV1_电信,http://60.164.229.241:4040/udp/239.255.30.101:8231
CCTV2_电信,http://60.164.229.241:4040/udp/239.255.30.179:8231
卫视｜电信,#genre#
东方卫视_电信,http://60.164.229.241:4040/udp/239.255.30.130:8231
云南卫视_电信,http://60.164.229.241:4040/udp/239.255.29.2:8231
凤凰卫视中文_电信,http://60.164.229.241:4040/udp/239.255.30.50:8231
凤凰香港卫视_电信,http://60.164.229.241:4040/udp/239.255.30.123:8231
安徽卫视_电信,http://60.164.229.241:4040/udp/239.255.30.84:8231
山东卫视_电信,http://60.164.229.241:4040/udp/239.255.30.139:8231
海南卫视_电信,http://60.164.229.241:4040/udp/239.255.30.99:8231
其他｜电信,#genre#
Bestv_电信,http://60.164.229.241:4040/udp/239.255.30.193:8231
全纪实_电信,http://60.164.229.241:4040/udp/239.255.29.17:8231
嘉峪关综合_电信,http://60.164.229.241:4040/udp/239.255.29.36:8231
戏曲精选_电信,http://60.164.229.241:4040/udp/239.255.30.118:8231
甘肃经济_电信,http://60.164.229.241:4040/udp/239.255.30.253:8231
生活时尚_电信,http://60.164.229.241:4040/udp/239.255.29.18:8231
看天下精选_电信,http://60.164.229.241:4040/udp/239.255.30.217:8231
