央视｜电信,#genre#
CCTV1_电信,http://119.1.125.172:4022/rtp/238.255.2.91:5999
CCTV2_电信,http://119.1.125.172:4022/rtp/238.255.2.11:5999
CCTV5+_电信,http://119.1.125.172:4022/rtp/238.255.2.185:5999
CCTV6_电信,http://119.1.125.172:4022/rtp/238.255.2.135:5999
CCTV7_电信,http://119.1.125.172:4022/rtp/238.255.2.12:5999
CCTV8_电信,http://119.1.125.172:4022/rtp/238.255.2.136:5999
CCTV10_电信,http://119.1.125.172:4022/rtp/238.255.2.13:5999
CCTV13_电信,http://119.1.125.172:4022/rtp/238.255.2.16:5999
CCTV14_电信,http://119.1.125.172:4022/rtp/238.255.2.17:5999
CCTV中视文化精品_电信,http://119.1.125.172:4022/rtp/238.255.2.32:5999
CCTV新影中学生_电信,http://119.1.125.172:4022/rtp/238.255.2.181:5999
CCTV新影发现之旅_电信,http://119.1.125.172:4022/rtp/238.255.2.184:5999
CCTV新影老故事_电信,http://119.1.125.172:4022/rtp/238.255.2.35:5999
CCTV风云剧场_电信,http://119.1.125.172:4022/rtp/238.255.2.28:5999
CCTV高尔夫网球_电信,http://119.1.125.172:4022/rtp/238.255.2.223:5999
卫视｜电信,#genre#
六盘水卫视1_电信,http://119.1.125.172:4022/rtp/238.255.2.115:5999
黔南卫视1_电信,http://119.1.125.172:4022/rtp/238.255.2.216:5999
毕节卫视2_电信,http://119.1.125.172:4022/rtp/238.255.2.132:5999
贵州卫视5_电信,http://119.1.125.172:4022/rtp/238.255.2.5:5999
贵州卫视6_电信,http://119.1.125.172:4022/rtp/238.255.2.6:5999
三沙卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.203:5999
云南卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.63:5999
凯里卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.180:5999
四川康巴卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.140:5999
延边卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.204:5999
浙江卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.100:5999
深圳卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.61:5999
瓮安卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.201:5999
甘肃卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.73:5999
辽宁卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.69:5999
重庆卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.78:5999
陕西卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.81:5999
黑龙江卫视_电信,http://119.1.125.172:4022/rtp/238.255.2.96:5999
其他｜电信,#genre#
CETV1_电信,http://119.1.125.172:4022/rtp/238.255.2.105:5999
欢笑剧场4K_电信,http://119.1.125.172:4022/rtp/238.255.2.215:5999
BRTV卡酷少儿_电信,http://119.1.125.172:4022/rtp/238.255.2.80:5999
CGTN_电信,http://119.1.125.172:4022/rtp/238.255.2.178:5999
CGTN法语_电信,http://119.1.125.172:4022/rtp/238.255.2.208:5999
中国交通_电信,http://119.1.125.172:4022/rtp/238.255.2.220:5999
乐游_电信,http://119.1.125.172:4022/rtp/238.255.2.188:5999
动漫秀场_电信,http://119.1.125.172:4022/rtp/238.255.2.196:5999
哈哈炫动_电信,http://119.1.125.172:4022/rtp/238.255.2.56:5999
娱乐_电信,http://119.1.125.172:4022/rtp/238.255.2.218:5999
游戏风云_电信,http://119.1.125.172:4022/rtp/238.255.2.197:5999
湖南快乐垂钓_电信,http://119.1.125.172:4022/rtp/238.255.2.191:5999
都市剧场_电信,http://119.1.125.172:4022/rtp/238.255.2.194:5999
金鹰卡通_电信,http://119.1.125.172:4022/rtp/238.255.2.55:5999
黔西南综合_电信,http://119.1.125.172:4022/rtp/238.255.2.126:5999
