央视｜联通,#genre#
CCTV1_联通,http://116.2.48.244:6000/rtp/232.0.0.27:1234
CCTV2_联通,http://116.2.48.244:6000/rtp/232.0.0.135:1234
CCTV4_联通,http://116.2.48.244:6000/rtp/232.0.0.201:1234
CCTV4_联通,http://116.2.48.244:6000/rtp/232.0.0.53:1234
CCTV5_联通,http://116.2.48.244:6000/rtp/232.0.0.171:1234
CCTV7_联通,http://116.2.48.244:6000/rtp/232.0.0.136:1234
CCTV8_联通,http://116.2.48.244:6000/rtp/232.0.0.173:1234
CCTV16_联通,http://116.2.48.244:6000/rtp/232.0.0.182:1234
CCTV中视购物_联通,http://116.2.48.244:6000/rtp/232.0.0.202:1234
卫视｜联通,#genre#
上海东方卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.122:1234
东南卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.74:1234
宁夏卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.34:1234
山西卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.86:1234
广东卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.130:1234
江西卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.82:1234
河南卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.80:1234
海南卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.26:1234
深圳卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.110:1234
湖北卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.124:1234
湖南卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.115:1234
贵州卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.181:1234
辽宁卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.126:1234
陕西卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.35:1234
黑龙江卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.95:1234
其他｜联通,#genre#
中国教育1_联通,http://116.2.48.244:6000/rtp/232.0.0.212:1234
爱上4K_联通,http://116.2.48.244:6000/rtp/232.0.0.187:1234
CGTN俄语国际_联通,http://116.2.48.244:6000/rtp/232.0.0.28:1234
CGTN法语国际_联通,http://116.2.48.244:6000/rtp/232.0.0.8:1234
CGTN阿拉伯语国际_联通,http://116.2.48.244:6000/rtp/232.0.0.43:1234
世界地理_联通,http://116.2.48.244:6000/rtp/232.0.0.63:1234
乐游_联通,http://116.2.48.244:6000/rtp/232.0.0.108:1234
优漫卡通_联通,http://116.2.48.244:6000/rtp/232.0.0.159:1234
兵器科技_联通,http://116.2.48.244:6000/rtp/232.0.0.58:1234
卡酷少儿_联通,http://116.2.48.244:6000/rtp/232.0.0.57:1234
地理_联通,http://116.2.48.244:6000/rtp/232.0.0.197:1234
沈阳新闻综合_联通,http://116.2.48.244:6000/rtp/232.0.0.206:1234
炫动卡通_联通,http://116.2.48.244:6000/rtp/232.0.0.103:1234
电视指南_联通,http://116.2.48.244:6000/rtp/232.0.0.91:1234
网络棋牌_联通,http://116.2.48.244:6000/rtp/232.0.0.64:1234
辽宁公共_联通,http://116.2.48.244:6000/rtp/232.0.0.168:1234
辽宁影视剧_联通,http://116.2.48.244:6000/rtp/232.0.0.25:1234
辽宁教育青少_联通,http://116.2.48.244:6000/rtp/232.0.0.241:1234
辽宁生活_联通,http://116.2.48.244:6000/rtp/232.0.0.150:1234
辽宁经济_联通,http://116.2.48.244:6000/rtp/232.0.0.156:1234
辽宁都市_联通,http://116.2.48.244:6000/rtp/232.0.0.154:1234
辽河新闻综合_联通,http://116.2.48.244:6000/rtp/232.0.0.214:1234
金色学堂_联通,http://116.2.48.244:6000/rtp/232.0.0.133:1234
音乐风云_联通,http://116.2.48.244:6000/rtp/232.0.0.47:1234
