央视｜电信,#genre#
CCTV1_电信,http://113.251.178.188:6666/rtp/235.254.198.51:1480
CCTV1_电信,http://113.251.178.188:6666/rtp/235.254.198.1:1280
CCTV3_电信,http://113.251.178.188:6666/rtp/235.254.198.53:1488
CCTV3_电信,http://113.251.178.188:6666/rtp/235.254.198.141:1842
CCTV3_电信,http://113.251.228.247:7788/rtp/235.254.198.141:1842
CCTV4_电信,http://113.251.228.247:7788/rtp/235.254.198.183:7980
CCTV4_电信,http://113.251.178.188:6666/rtp/235.254.198.183:7980
CCTV4_电信,http://113.251.228.247:7788/rtp/235.254.198.3:1288
CCTV4_电信,http://113.251.178.188:6666/rtp/235.254.198.3:1288
CCTV6_电信,http://113.251.228.247:7788/rtp/235.254.198.143:1852
CCTV7_电信,http://113.251.228.247:7788/rtp/235.254.198.56:1500
CCTV8_电信,http://113.251.178.188:6666/rtp/235.254.198.144:1856
CCTV9_电信,http://113.251.228.247:7788/rtp/235.254.198.58:1508
CCTV9_电信,http://113.251.228.247:7788/rtp/235.254.198.5:1296
CCTV9_电信,http://113.251.178.188:6666/rtp/235.254.198.5:1296
CCTV12_电信,http://113.251.178.188:6666/rtp/235.254.198.8:1308
CCTV13_电信,http://113.251.228.247:7788/rtp/235.254.198.9:1312
央视｜联通,#genre#
CCTV1_联通,http://27.11.52.23:8008/udp/225.0.4.74:7980
CCTV1_联通,http://219.156.51.53:9999/rtp/225.1.4.73:1102
CCTV2_联通,http://27.11.52.23:8008/udp/225.0.4.132:7980
CCTV2_联通,http://219.156.51.53:9999/rtp/225.1.4.74:1103
CCTV2_联通,http://220.192.0.165:8001/udp/225.0.4.132:7980
CCTV3_联通,http://220.192.0.165:8008/udp/225.0.4.142:7980
CCTV3_联通,http://220.192.0.165:8001/udp/225.0.4.142:7980
CCTV4_联通,http://27.11.52.23:8001/udp/225.0.4.176:7980
CCTV4_联通,http://220.192.0.165:8001/udp/225.0.4.176:7980
CCTV5_联通,http://219.156.51.53:9999/rtp/225.1.4.159:1195
CCTV5_联通,http://220.192.0.165:8001/udp/225.0.4.143:7980
CCTV5_联通,http://27.11.52.23:8001/udp/225.0.4.143:7980
CCTV6_联通,http://220.192.0.165:8008/udp/225.0.4.144:7980
CCTV6_联通,http://27.11.52.23:8001/udp/225.0.4.144:7980
CCTV6_联通,http://220.192.0.165:8001/udp/225.0.4.144:7980
CCTV7_联通,http://220.192.0.165:8001/udp/225.0.4.127:7980
CCTV8_联通,http://27.11.52.23:8001/udp/225.0.4.137:7980
CCTV9_联通,http://219.156.51.53:9999/rtp/225.1.4.77:1106
CCTV9_联通,http://27.11.52.23:8001/udp/225.0.4.131:7980
CCTV9_联通,http://220.192.0.165:8001/udp/225.0.4.131:7980
CCTV10_联通,http://27.11.52.23:8001/udp/225.0.4.130:7980
CCTV11_联通,http://219.156.51.53:9999/rtp/225.1.4.215:1268
CCTV11_联通,http://36.35.16.98:9901/tsfile/live/0011_1.m3u8
CCTV12_联通,http://220.192.0.165:8008/udp/225.0.4.129:7980
CCTV12_联通,http://27.11.52.23:8008/udp/225.0.4.129:7980
CCTV12_联通,http://27.11.52.23:8001/udp/225.0.4.129:7980
CCTV12_联通,http://220.192.0.165:8001/udp/225.0.4.129:7980
CCTV13_联通,http://219.156.51.53:9999/rtp/225.1.4.113:1293
CCTV13_联通,http://36.35.16.98:9901/tsfile/live/0001_33.m3u8
CCTV14_联通,http://220.192.0.165:8008/udp/225.0.4.128:7980
CCTV14_联通,http://220.192.0.165:8001/udp/225.0.4.128:7980
CCTV14_联通,http://27.11.52.23:8008/udp/225.0.4.128:7980
CCTV15_联通,http://36.35.16.98:9901/tsfile/live/0015_1.m3u8
CCTV15_联通,http://183.94.212.30:9901/tsfile/live/0015_1.m3u8
CCTV17_联通,http://36.35.16.98:9901/tsfile/live/0019_1.m3u8
卫视｜电信,#genre#
东南卫视超_电信,http://113.251.178.188:6666/rtp/235.254.198.129:7980
东方卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.33:1408
东方卫视超_电信,http://113.251.178.188:6666/rtp/235.254.198.73:1568
云南卫视_电信,http://113.251.228.247:7788/rtp/235.254.198.25:1376
内蒙古卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.42:1444
北京卫视_电信,http://113.251.228.247:7788/rtp/235.254.198.21:1360
北京卫视超_电信,http://113.251.228.247:7788/rtp/235.254.198.66:1540
四川卫视超_电信,http://113.251.228.247:7788/rtp/235.254.198.175:7980
四川卫视超_电信,http://113.251.178.188:6666/rtp/235.254.198.175:7980
天津卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.22:1364
天津卫视超_电信,http://113.251.178.188:6666/rtp/235.254.198.67:1544
宁夏卫视_电信,http://113.251.228.247:7788/rtp/235.254.198.45:1456
安徽卫视_电信,http://113.251.228.247:7788/rtp/235.254.198.20:1356
安徽卫视超_电信,http://113.251.228.247:7788/rtp/235.254.198.65:1536
山东卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.69:1552
山东卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.24:1372
广东卫视_电信,http://113.251.178.188:6666/rtp/235.254.196.204:1088
广东卫视_电信,http://113.251.228.247:7788/rtp/235.254.196.204:1088
广东卫视_电信,http://113.251.228.247:7788/rtp/235.254.198.37:1424
广西卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.38:1428
新疆卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.47:1464
江苏卫视超_电信,http://113.251.178.188:6666/rtp/235.254.198.64:1532
浙江卫视_电信,http://113.251.228.247:7788/rtp/235.254.198.18:1348
浙江卫视超_电信,http://113.251.228.247:7788/rtp/235.254.198.63:1528
深圳卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.31:1400
湖北卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.72:1564
湖南卫视_电信,http://113.251.228.247:7788/rtp/235.254.198.17:1344
湖南卫视超_电信,http://113.251.178.188:6666/rtp/235.254.198.62:1524
湖南卫视超_电信,http://113.251.228.247:7788/rtp/235.254.198.62:1524
西藏卫视_电信,http://113.251.228.247:7788/rtp/235.254.198.46:1460
辽宁卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.68:1548
辽宁卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.23:1368
黑龙江卫视_电信,http://113.251.178.188:6666/rtp/235.254.198.27:1384
黑龙江卫视超_电信,http://113.251.228.247:7788/rtp/235.254.198.70:1556
卫视｜联通,#genre#
三沙卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.234:1280
东南卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.228:1274
东南卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_5.m3u8
东方卫视_联通,http://220.192.0.165:8001/udp/225.0.4.80:7980
东方卫视_联通,http://27.11.52.23:8008/udp/225.0.4.80:7980
云南卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.152:1307
云南卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_2.m3u8
兵团卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.97:1126
内蒙古卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_16.m3u8
北京卫视_联通,http://27.11.52.23:8008/udp/225.0.4.78:7980
北京卫视_联通,http://27.11.52.23:8001/udp/225.0.4.78:7980
北京卫视_联通,http://220.192.0.165:8001/udp/225.0.4.78:7980
厦门卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.95:1124
吉林卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.174:1309
吉林卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_12.m3u8
四川卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.40:1069
天津卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_25.m3u8
宁夏卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_6.m3u8
安徽卫视_联通,http://27.11.52.23:8008/udp/225.0.4.133:7980
安徽卫视_联通,http://220.192.0.165:8008/udp/225.0.4.133:7980
山东卫视_联通,http://27.11.52.23:8008/udp/225.0.4.199:7980
山东卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.88:1117
山东卫视_联通,http://27.11.52.23:8001/udp/225.0.4.199:7980
山东卫视_联通,http://220.192.0.165:8008/udp/225.0.4.199:7980
广东卫视_联通,http://27.11.52.23:8008/udp/225.0.4.84:7980
广东卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.166:1207
广东卫视_联通,http://220.192.0.165:8008/udp/225.0.4.84:7980
广东卫视_联通,http://27.11.52.23:8001/udp/225.0.4.84:7980
广西卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_9.m3u8
新疆卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.47:1076
新疆卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_15.m3u8
旅游卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_10.m3u8
江苏卫视_联通,http://27.11.52.23:8001/udp/225.0.4.79:7980
江苏卫视_联通,http://27.11.52.23:8008/udp/225.0.4.79:7980
江苏卫视_联通,http://220.192.0.165:8001/udp/225.0.4.79:7980
江西卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_3.m3u8
河北卫视_联通,http://220.192.0.165:8008/udp/225.0.4.174:7980
河北卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.123:1304
河北卫视_联通,http://27.11.52.23:8008/udp/225.0.4.174:7980
河南卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_8.m3u8
浙江卫视_联通,http://27.11.52.23:8008/udp/225.0.4.81:7980
浙江卫视_联通,http://27.11.52.23:8001/udp/225.0.4.81:7980
海南卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.25:1054
深圳卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_22.m3u8
湖北卫视_联通,http://219.156.51.53:9999/rtp/225.1.4.89:1118
湖北卫视_联通,http://36.35.16.98:9901/tsfile/live/0001_26.m3u8
湖南卫视_联通,http://220.192.0.165:8008/udp/225.0.4.75:7980
湖南卫视_联通,http://27.11.52.23:8008/udp/225.0.4.75:7980
湖南卫视_联通,http://220.192.0.165:8001/udp/225.0.4.75:7980
