央视｜电信,#genre#
CCTV1_电信,http://110.81.51.171:4022/rtp/239.61.3.60:9878
CCTV1_电信,http://110.81.51.171:4022/rtp/239.61.3.61:9884
CCTV2_电信,http://110.81.51.171:4022/rtp/239.61.2.174:9032
CCTV3_电信,http://110.81.51.171:4022/rtp/239.61.3.34:9722
CCTV4_电信,http://110.81.51.171:4022/rtp/239.61.2.206:9224
CCTV5+_电信,http://110.81.51.171:4022/rtp/239.61.2.171:9014
CCTV5_电信,http://110.81.51.171:4022/rtp/239.61.3.35:9728
CCTV6_电信,http://110.81.51.171:4022/rtp/239.61.3.36:9734
CCTV7_电信,http://110.81.51.171:4022/rtp/239.61.2.175:9038
CCTV8_电信,http://110.81.51.171:4022/rtp/239.61.3.37:9740
CCTV9_电信,http://110.81.51.171:4022/rtp/239.61.2.172:9020
CCTV10_电信,http://110.81.51.171:4022/rtp/239.61.2.176:9044
CCTV11_电信,http://110.81.51.171:4022/rtp/239.61.2.21:8120
CCTV12_电信,http://110.81.51.171:4022/rtp/239.61.2.177:9050
CCTV13_电信,http://110.81.51.171:4022/rtp/239.61.2.23:8132
CCTV14_电信,http://110.81.51.171:4022/rtp/239.61.2.178:9056
CCTV15_电信,http://110.81.51.171:4022/rtp/239.61.2.25:8144
CCTV17_电信,http://110.81.51.171:4022/rtp/239.61.3.9:9572
卫视｜电信,#genre#
三沙卫视_电信,http://110.81.51.171:4022/rtp/239.61.3.10:9578
东南卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.132:8708
东方卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.28:8162
云南卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.61:8360
兵团卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.228:9356
凤凰卫视中文台_电信,http://110.81.51.171:4022/rtp/239.61.2.184:9092
北京卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.32:8186
厦门卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.11:8060
吉林卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.223:9326
四川卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.251:9494
大湾区卫视_电信,http://110.81.51.171:4022/rtp/239.61.3.5:9548
天津卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.180:9068
安徽卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.248:9476
山西卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.224:9332
广东卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.33:8192
广西卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.48:8282
新疆卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.227:9350
江苏卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.30:8174
江西卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.182:9080
河北卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.57:8336
河南卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.59:8348
浙江卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.29:8168
海南卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.42:8246
海峡卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.151:8894
深圳卫视_电信,http://110.81.51.171:4022/rtp/239.61.3.46:9794
湖北卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.120:8714
湖南卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.31:8180
甘肃卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.225:9338
西藏卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.229:9362
贵州卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.159:8942
辽宁卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.181:9074
重庆卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.250:9488
陕西卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.38:8222
青海卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.60:8354
黑龙江卫视_电信,http://110.81.51.171:4022/rtp/239.61.2.34:8198
其他｜电信,#genre#
中国教育1_电信,http://110.81.51.171:4022/rtp/239.61.2.167:8990
厦门1套_电信,http://110.81.51.171:4022/rtp/239.61.3.55:9848
中国教育2_电信,http://110.81.51.171:4022/rtp/239.61.3.6:9554
厦门2套_电信,http://110.81.51.171:4022/rtp/239.61.3.56:9854
中国教育4_电信,http://110.81.51.171:4022/rtp/239.61.3.15:9608
CGTN_电信,http://110.81.51.171:4022/rtp/239.61.2.19:8108
CGTN俄语_电信,http://110.81.51.171:4022/rtp/239.61.3.45:9788
CGTN德语_电信,http://110.81.51.171:4022/rtp/239.61.3.43:9776
CGTN法语_电信,http://110.81.51.171:4022/rtp/239.61.3.44:9782
CHC动作电影_电信,http://110.81.51.171:4022/rtp/239.61.3.16:9616
东方财经_电信,http://110.81.51.171:4022/rtp/239.61.2.76:8450
中华特产_电信,http://110.81.51.171:4022/rtp/239.61.3.72:9950
中学生_电信,http://110.81.51.171:4022/rtp/239.61.3.73:9956
乐游_电信,http://110.81.51.171:4022/rtp/239.61.2.147:8870
优优宝贝_电信,http://110.81.51.171:4022/rtp/239.61.3.70:9938
先锋乒羽_电信,http://110.81.51.171:4022/rtp/239.61.3.17:9622
动漫秀场_电信,http://110.81.51.171:4022/rtp/239.61.2.148:8876
卡酷少儿_电信,http://110.81.51.171:4022/rtp/239.61.2.222:9320
